mag,col,sigma
2.0,-2.0,1.413724557685961
2.1616161616161618,-2.0,1.413724557685961
2.323232323232323,-2.0,1.6060620609439518
2.484848484848485,-2.0,1.7595433678194399
2.6464646464646466,-2.0,1.7595433678194399
2.808080808080808,-2.0,1.7595433678194399
2.9696969696969697,-2.0,1.7595433678194399
3.1313131313131315,-2.0,1.7595433678194399
3.2929292929292933,-2.0,1.7595433678194399
3.4545454545454546,-2.0,1.7595433678194399
3.6161616161616164,-2.0,1.7595433678194399
3.7777777777777777,-2.0,1.7595433678194399
3.9393939393939394,-2.0,1.7595433678194399
4.101010101010101,-2.0,1.7595433678194399
4.262626262626263,-2.0,1.7595433678194399
4.424242424242424,-2.0,1.6616375864489625
4.5858585858585865,-2.0,1.6616375864489625
4.747474747474747,-2.0,1.6616375864489625
4.909090909090909,-2.0,1.6616375864489625
5.070707070707071,-2.0,1.6616375864489625
5.232323232323233,-2.0,1.6616375864489625
5.3939393939393945,-2.0,1.8341496237601673
5.555555555555555,-2.0,1.8183302269097164
5.717171717171718,-2.0,2.1985246676193144
5.878787878787879,-2.0,2.2728895478760673
6.040404040404041,-2.0,2.2728895478760673
6.202020202020202,-2.0,2.2728895478760673
6.363636363636364,-2.0,2.3679196925204997
6.525252525252526,-2.0,2.3679196925204997
6.686868686868687,-2.0,2.4971166620852125
6.848484848484849,-2.0,2.4971166620852125
7.01010101010101,-2.0,2.4971166620852125
7.171717171717172,-2.0,2.604438125769347
7.333333333333334,-2.0,2.6391589855900977
7.494949494949496,-2.0,2.6391589855900977
7.6565656565656575,-2.0,3.122392884125859
7.818181818181818,-2.0,3.726179003082806
7.97979797979798,-2.0,4.464601067431172
8.141414141414142,-2.0,5.0896092649051345
8.303030303030305,-2.0,5.534013456286379
8.464646464646465,-2.0,5.534013456286379
8.626262626262626,-2.0,5.721957396118942
8.787878787878789,-2.0,6.87026930156295
8.94949494949495,-2.0,6.87026930156295
9.11111111111111,-2.0,7.4444815338957975
9.272727272727273,-2.0,8.97279734322444
9.434343434343436,-2.0,9.012798566603614
9.595959595959597,-2.0,9.999353251511035
9.757575757575758,-2.0,12.37591960307295
9.91919191919192,-2.0,14.666594770218984
10.080808080808081,-2.0,17.371421683427727
10.242424242424244,-2.0,18.0837123800809
10.404040404040405,-2.0,19.620389244253577
10.565656565656566,-2.0,19.620389244253577
10.727272727272728,-2.0,21.726207006021177
10.88888888888889,-2.0,21.726207006021177
11.050505050505052,-2.0,25.23259584339808
11.212121212121213,-2.0,25.23259584339808
11.373737373737374,-2.0,27.133385176304856
11.535353535353536,-2.0,33.876575690010455
11.696969696969697,-2.0,37.21945983957576
11.85858585858586,-2.0,37.5494578473309
12.02020202020202,-2.0,39.46814584218324
12.181818181818183,-2.0,46.19086406861099
12.343434343434344,-2.0,46.19086406861099
12.505050505050505,-2.0,46.19086406861099
12.666666666666668,-2.0,46.19086406861099
12.828282828282829,-2.0,46.25392072946117
12.989898989898991,-2.0,55.87840006869087
13.151515151515152,-2.0,55.87840006869087
13.313131313131315,-2.0,55.87840006869087
13.474747474747476,-2.0,55.87840006869087
13.636363636363637,-2.0,55.87840006869087
13.7979797979798,-2.0,56.29509264434471
13.95959595959596,-2.0,56.29509264434471
14.121212121212123,-2.0,56.29509264434471
14.282828282828284,-2.0,56.29509264434471
14.444444444444445,-2.0,56.29509264434471
14.606060606060607,-2.0,56.29509264434471
14.767676767676768,-2.0,56.29509264434471
14.92929292929293,-2.0,56.29509264434471
15.090909090909092,-2.0,56.29509264434471
15.252525252525254,-2.0,55.654803627155815
15.414141414141415,-2.0,55.654803627155815
15.575757575757576,-2.0,50.83271475664364
15.737373737373739,-2.0,45.016736554030004
15.8989898989899,-2.0,45.016736554030004
16.060606060606062,-2.0,44.29367583711862
16.22222222222222,-2.0,41.46903187542542
16.383838383838388,-2.0,41.46903187542542
16.545454545454547,-2.0,26.488769174099023
16.707070707070706,-2.0,26.488769174099023
16.868686868686872,-2.0,26.488769174099023
17.03030303030303,-2.0,17.392063562949218
17.191919191919194,-2.0,14.695300831103458
17.353535353535356,-2.0,14.695300831103458
17.515151515151516,-2.0,14.695300831103458
17.67676767676768,-2.0,14.043853029156267
17.83838383838384,-2.0,13.02552412374283
18.0,-2.0,13.02552412374283
2.0,-1.898989898989899,1.413724557685961
2.1616161616161618,-1.898989898989899,1.413724557685961
2.323232323232323,-1.898989898989899,1.413724557685961
2.484848484848485,-1.898989898989899,1.7595433678194399
2.6464646464646466,-1.898989898989899,1.7595433678194399
2.808080808080808,-1.898989898989899,1.7595433678194399
2.9696969696969697,-1.898989898989899,1.7595433678194399
3.1313131313131315,-1.898989898989899,1.7595433678194399
3.2929292929292933,-1.898989898989899,1.7595433678194399
3.4545454545454546,-1.898989898989899,1.7595433678194399
3.6161616161616164,-1.898989898989899,1.7595433678194399
3.7777777777777777,-1.898989898989899,1.7595433678194399
3.9393939393939394,-1.898989898989899,1.7595433678194399
4.101010101010101,-1.898989898989899,1.7595433678194399
4.262626262626263,-1.898989898989899,1.7595433678194399
4.424242424242424,-1.898989898989899,1.6616375864489625
4.5858585858585865,-1.898989898989899,1.6616375864489625
4.747474747474747,-1.898989898989899,1.6616375864489625
4.909090909090909,-1.898989898989899,1.6616375864489625
5.070707070707071,-1.898989898989899,1.6616375864489625
5.232323232323233,-1.898989898989899,1.6616375864489625
5.3939393939393945,-1.898989898989899,1.6939235612733485
5.555555555555555,-1.898989898989899,1.6939235612733485
5.717171717171718,-1.898989898989899,2.071234455294339
5.878787878787879,-1.898989898989899,2.2728895478760673
6.040404040404041,-1.898989898989899,2.2728895478760673
6.202020202020202,-1.898989898989899,2.2728895478760673
6.363636363636364,-1.898989898989899,2.3679196925204997
6.525252525252526,-1.898989898989899,2.3679196925204997
6.686868686868687,-1.898989898989899,2.3679196925204997
6.848484848484849,-1.898989898989899,2.4971166620852125
7.01010101010101,-1.898989898989899,2.4971166620852125
7.171717171717172,-1.898989898989899,2.604438125769347
7.333333333333334,-1.898989898989899,2.6391589855900977
7.494949494949496,-1.898989898989899,2.6391589855900977
7.6565656565656575,-1.898989898989899,3.122392884125859
7.818181818181818,-1.898989898989899,3.726179003082806
7.97979797979798,-1.898989898989899,4.464601067431172
8.141414141414142,-1.898989898989899,5.0896092649051345
8.303030303030305,-1.898989898989899,5.534013456286379
8.464646464646465,-1.898989898989899,5.534013456286379
8.626262626262626,-1.898989898989899,5.721957396118942
8.787878787878789,-1.898989898989899,6.87026930156295
8.94949494949495,-1.898989898989899,6.87026930156295
9.11111111111111,-1.898989898989899,7.4444815338957975
9.272727272727273,-1.898989898989899,8.97279734322444
9.434343434343436,-1.898989898989899,9.012798566603614
9.595959595959597,-1.898989898989899,9.999353251511035
9.757575757575758,-1.898989898989899,12.37591960307295
9.91919191919192,-1.898989898989899,14.666594770218984
10.080808080808081,-1.898989898989899,17.371421683427727
10.242424242424244,-1.898989898989899,18.0837123800809
10.404040404040405,-1.898989898989899,18.0837123800809
10.565656565656566,-1.898989898989899,19.620389244253577
10.727272727272728,-1.898989898989899,21.726207006021177
10.88888888888889,-1.898989898989899,21.726207006021177
11.050505050505052,-1.898989898989899,23.067360613651804
11.212121212121213,-1.898989898989899,27.133385176304856
11.373737373737374,-1.898989898989899,27.133385176304856
11.535353535353536,-1.898989898989899,37.21945983957576
11.696969696969697,-1.898989898989899,37.21945983957576
11.85858585858586,-1.898989898989899,37.5494578473309
12.02020202020202,-1.898989898989899,39.46814584218324
12.181818181818183,-1.898989898989899,46.19086406861099
12.343434343434344,-1.898989898989899,46.19086406861099
12.505050505050505,-1.898989898989899,46.19086406861099
12.666666666666668,-1.898989898989899,46.19086406861099
12.828282828282829,-1.898989898989899,46.25392072946117
12.989898989898991,-1.898989898989899,55.87840006869087
13.151515151515152,-1.898989898989899,55.87840006869087
13.313131313131315,-1.898989898989899,55.87840006869087
13.474747474747476,-1.898989898989899,55.87840006869087
13.636363636363637,-1.898989898989899,56.29509264434471
13.7979797979798,-1.898989898989899,56.29509264434471
13.95959595959596,-1.898989898989899,56.29509264434471
14.121212121212123,-1.898989898989899,56.29509264434471
14.282828282828284,-1.898989898989899,56.29509264434471
14.444444444444445,-1.898989898989899,56.29509264434471
14.606060606060607,-1.898989898989899,56.29509264434471
14.767676767676768,-1.898989898989899,56.29509264434471
14.92929292929293,-1.898989898989899,56.29509264434471
15.090909090909092,-1.898989898989899,55.654803627155815
15.252525252525254,-1.898989898989899,55.654803627155815
15.414141414141415,-1.898989898989899,50.83271475664364
15.575757575757576,-1.898989898989899,45.016736554030004
15.737373737373739,-1.898989898989899,45.016736554030004
15.8989898989899,-1.898989898989899,44.29367583711862
16.060606060606062,-1.898989898989899,41.46903187542542
16.22222222222222,-1.898989898989899,41.46903187542542
16.383838383838388,-1.898989898989899,26.488769174099023
16.545454545454547,-1.898989898989899,26.488769174099023
16.707070707070706,-1.898989898989899,26.488769174099023
16.868686868686872,-1.898989898989899,17.392063562949218
17.03030303030303,-1.898989898989899,14.695300831103458
17.191919191919194,-1.898989898989899,14.695300831103458
17.353535353535356,-1.898989898989899,14.695300831103458
17.515151515151516,-1.898989898989899,14.043853029156267
17.67676767676768,-1.898989898989899,13.02552412374283
17.83838383838384,-1.898989898989899,13.02552412374283
18.0,-1.898989898989899,13.02552412374283
2.0,-1.797979797979798,1.413724557685961
2.1616161616161618,-1.797979797979798,1.413724557685961
2.323232323232323,-1.797979797979798,1.413724557685961
2.484848484848485,-1.797979797979798,1.413724557685961
2.6464646464646466,-1.797979797979798,1.7595433678194399
2.808080808080808,-1.797979797979798,1.7595433678194399
2.9696969696969697,-1.797979797979798,1.7595433678194399
3.1313131313131315,-1.797979797979798,1.7595433678194399
3.2929292929292933,-1.797979797979798,1.7595433678194399
3.4545454545454546,-1.797979797979798,1.7595433678194399
3.6161616161616164,-1.797979797979798,1.7595433678194399
3.7777777777777777,-1.797979797979798,1.7595433678194399
3.9393939393939394,-1.797979797979798,1.7595433678194399
4.101010101010101,-1.797979797979798,1.7595433678194399
4.262626262626263,-1.797979797979798,1.7595433678194399
4.424242424242424,-1.797979797979798,1.6616375864489625
4.5858585858585865,-1.797979797979798,1.6616375864489625
4.747474747474747,-1.797979797979798,1.6616375864489625
4.909090909090909,-1.797979797979798,1.6616375864489625
5.070707070707071,-1.797979797979798,1.6616375864489625
5.232323232323233,-1.797979797979798,1.6616375864489625
5.3939393939393945,-1.797979797979798,1.6939235612733485
5.555555555555555,-1.797979797979798,1.6939235612733485
5.717171717171718,-1.797979797979798,2.071234455294339
5.878787878787879,-1.797979797979798,2.2728895478760673
6.040404040404041,-1.797979797979798,2.2728895478760673
6.202020202020202,-1.797979797979798,2.2728895478760673
6.363636363636364,-1.797979797979798,2.3679196925204997
6.525252525252526,-1.797979797979798,2.3679196925204997
6.686868686868687,-1.797979797979798,2.3679196925204997
6.848484848484849,-1.797979797979798,2.4971166620852125
7.01010101010101,-1.797979797979798,2.4971166620852125
7.171717171717172,-1.797979797979798,2.604438125769347
7.333333333333334,-1.797979797979798,2.6391589855900977
7.494949494949496,-1.797979797979798,2.6391589855900977
7.6565656565656575,-1.797979797979798,3.122392884125859
7.818181818181818,-1.797979797979798,3.726179003082806
7.97979797979798,-1.797979797979798,4.464601067431172
8.141414141414142,-1.797979797979798,5.0896092649051345
8.303030303030305,-1.797979797979798,5.534013456286379
8.464646464646465,-1.797979797979798,5.534013456286379
8.626262626262626,-1.797979797979798,5.721957396118942
8.787878787878789,-1.797979797979798,6.87026930156295
8.94949494949495,-1.797979797979798,6.87026930156295
9.11111111111111,-1.797979797979798,7.4444815338957975
9.272727272727273,-1.797979797979798,8.97279734322444
9.434343434343436,-1.797979797979798,9.012798566603614
9.595959595959597,-1.797979797979798,9.999353251511035
9.757575757575758,-1.797979797979798,11.574877103001677
9.91919191919192,-1.797979797979798,14.666594770218984
10.080808080808081,-1.797979797979798,17.371421683427727
10.242424242424244,-1.797979797979798,18.0837123800809
10.404040404040405,-1.797979797979798,18.0837123800809
10.565656565656566,-1.797979797979798,19.620389244253577
10.727272727272728,-1.797979797979798,21.726207006021177
10.88888888888889,-1.797979797979798,21.726207006021177
11.050505050505052,-1.797979797979798,23.067360613651804
11.212121212121213,-1.797979797979798,27.133385176304856
11.373737373737374,-1.797979797979798,27.133385176304856
11.535353535353536,-1.797979797979798,37.21945983957576
11.696969696969697,-1.797979797979798,37.21945983957576
11.85858585858586,-1.797979797979798,37.5494578473309
12.02020202020202,-1.797979797979798,39.46814584218324
12.181818181818183,-1.797979797979798,46.19086406861099
12.343434343434344,-1.797979797979798,46.19086406861099
12.505050505050505,-1.797979797979798,46.19086406861099
12.666666666666668,-1.797979797979798,46.25392072946117
12.828282828282829,-1.797979797979798,52.59925880145118
12.989898989898991,-1.797979797979798,55.87840006869087
13.151515151515152,-1.797979797979798,55.87840006869087
13.313131313131315,-1.797979797979798,55.87840006869087
13.474747474747476,-1.797979797979798,55.87840006869087
13.636363636363637,-1.797979797979798,56.29509264434471
13.7979797979798,-1.797979797979798,56.29509264434471
13.95959595959596,-1.797979797979798,56.29509264434471
14.121212121212123,-1.797979797979798,56.29509264434471
14.282828282828284,-1.797979797979798,56.29509264434471
14.444444444444445,-1.797979797979798,56.29509264434471
14.606060606060607,-1.797979797979798,56.29509264434471
14.767676767676768,-1.797979797979798,56.29509264434471
14.92929292929293,-1.797979797979798,55.654803627155815
15.090909090909092,-1.797979797979798,55.654803627155815
15.252525252525254,-1.797979797979798,50.83271475664364
15.414141414141415,-1.797979797979798,45.016736554030004
15.575757575757576,-1.797979797979798,45.016736554030004
15.737373737373739,-1.797979797979798,44.29367583711862
15.8989898989899,-1.797979797979798,41.46903187542542
16.060606060606062,-1.797979797979798,41.46903187542542
16.22222222222222,-1.797979797979798,26.488769174099023
16.383838383838388,-1.797979797979798,26.488769174099023
16.545454545454547,-1.797979797979798,26.488769174099023
16.707070707070706,-1.797979797979798,17.392063562949218
16.868686868686872,-1.797979797979798,14.695300831103458
17.03030303030303,-1.797979797979798,14.695300831103458
17.191919191919194,-1.797979797979798,14.695300831103458
17.353535353535356,-1.797979797979798,14.043853029156267
17.515151515151516,-1.797979797979798,13.02552412374283
17.67676767676768,-1.797979797979798,13.02552412374283
17.83838383838384,-1.797979797979798,13.02552412374283
18.0,-1.797979797979798,13.444448924501227
2.0,-1.696969696969697,1.413724557685961
2.1616161616161618,-1.696969696969697,1.413724557685961
2.323232323232323,-1.696969696969697,1.413724557685961
2.484848484848485,-1.696969696969697,1.413724557685961
2.6464646464646466,-1.696969696969697,1.7595433678194399
2.808080808080808,-1.696969696969697,1.7595433678194399
2.9696969696969697,-1.696969696969697,1.7595433678194399
3.1313131313131315,-1.696969696969697,1.7595433678194399
3.2929292929292933,-1.696969696969697,1.7595433678194399
3.4545454545454546,-1.696969696969697,1.7595433678194399
3.6161616161616164,-1.696969696969697,1.7595433678194399
3.7777777777777777,-1.696969696969697,1.7595433678194399
3.9393939393939394,-1.696969696969697,1.7595433678194399
4.101010101010101,-1.696969696969697,1.7595433678194399
4.262626262626263,-1.696969696969697,1.7595433678194399
4.424242424242424,-1.696969696969697,1.7595433678194399
4.5858585858585865,-1.696969696969697,1.6616375864489625
4.747474747474747,-1.696969696969697,1.6616375864489625
4.909090909090909,-1.696969696969697,1.6616375864489625
5.070707070707071,-1.696969696969697,1.6616375864489625
5.232323232323233,-1.696969696969697,1.6616375864489625
5.3939393939393945,-1.696969696969697,1.6939235612733485
5.555555555555555,-1.696969696969697,1.6939235612733485
5.717171717171718,-1.696969696969697,2.071234455294339
5.878787878787879,-1.696969696969697,2.2728895478760673
6.040404040404041,-1.696969696969697,2.2728895478760673
6.202020202020202,-1.696969696969697,2.2728895478760673
6.363636363636364,-1.696969696969697,2.2728895478760673
6.525252525252526,-1.696969696969697,2.3679196925204997
6.686868686868687,-1.696969696969697,2.3679196925204997
6.848484848484849,-1.696969696969697,2.4971166620852125
7.01010101010101,-1.696969696969697,2.4971166620852125
7.171717171717172,-1.696969696969697,2.604438125769347
7.333333333333334,-1.696969696969697,2.6391589855900977
7.494949494949496,-1.696969696969697,2.6391589855900977
7.6565656565656575,-1.696969696969697,3.122392884125859
7.818181818181818,-1.696969696969697,3.726179003082806
7.97979797979798,-1.696969696969697,4.464601067431172
8.141414141414142,-1.696969696969697,5.0896092649051345
8.303030303030305,-1.696969696969697,5.534013456286379
8.464646464646465,-1.696969696969697,5.534013456286379
8.626262626262626,-1.696969696969697,5.534013456286379
8.787878787878789,-1.696969696969697,6.87026930156295
8.94949494949495,-1.696969696969697,6.87026930156295
9.11111111111111,-1.696969696969697,7.4444815338957975
9.272727272727273,-1.696969696969697,8.97279734322444
9.434343434343436,-1.696969696969697,9.012798566603614
9.595959595959597,-1.696969696969697,9.999353251511035
9.757575757575758,-1.696969696969697,11.574877103001677
9.91919191919192,-1.696969696969697,14.666594770218984
10.080808080808081,-1.696969696969697,16.022476171996566
10.242424242424244,-1.696969696969697,17.371421683427727
10.404040404040405,-1.696969696969697,18.0837123800809
10.565656565656566,-1.696969696969697,19.620389244253577
10.727272727272728,-1.696969696969697,21.726207006021177
